USER_ID,recency,frequency,monetory_value,r_quartile,f_quartile,m_quartile,RFMScore
1532606110150110,62,1,97.0,4,4,4,444
1532607111333310,13,3,355.0,2,2,1,221
1532609589779370,62,5,566.85,4,1,1,411
1532610701654650,45,3,262.46999999999997,3,2,2,322
1532610819698860,1,2,215.38,1,3,2,132
1532611459424500,62,3,292.0,4,2,2,422
1532612884664880,62,2,201.68,4,3,2,432
1532616754807780,62,1,189.47,4,4,2,442
1532616859489110,62,3,394.66999999999996,4,2,1,421
1532617125685320,34,6,616.0,3,1,1,311
1532617294082290,62,1,94.34,4,4,4,444
1532617384589840,62,2,209.8,4,3,2,432
1532617526651240,62,1,48.0,4,4,4,444
1532617900829610,62,1,194.44,4,4,2,442
1532618437864820,62,3,228.14,4,2,2,422
1532619578467810,62,1,55.0,4,4,4,444
1532620895949610,50,4,300.0,4,1,2,412
1532621018919630,33,2,244.0,3,3,2,332
1532621716964860,24,9,1059.0,2,1,1,211
1532622592350170,62,1,139.0,4,4,3,443
1532624056653240,62,1,118.0,4,4,4,444
1532626108655110,53,7,907.75,4,1,1,411
1532627196608800,57,1,149.0,4,4,3,443
1532627241155460,53,2,487.0,4,3,1,431
1532628463169190,58,6,805.8399999999999,4,1,1,411
1532628475221990,2,12,1125.0,1,1,1,111
1532630988520940,50,1,144.0,4,4,3,443
1532631774678690,58,2,190.0,4,3,2,432
1532632291653110,13,2,259.0,2,3,2,232
1532632296524370,62,1,151.13,4,4,3,443
1532637229305400,61,2,198.62,4,3,2,432
1532637442240640,26,2,220.42,3,3,2,332
1532637906218720,62,5,321.1,4,1,2,412
1532640267592520,62,1,101.34,4,4,4,444
1532640440003360,22,1,53.63,2,4,4,244
1532644136943740,62,1,83.0,4,4,4,444
1532644751151280,25,5,565.8399999999999,2,1,1,211
1532645007945490,54,1,59.0,4,4,4,444
1532647726220500,2,13,429.0,1,1,1,111
1532648498874190,3,6,648.94,1,1,1,111
1532650564588700,52,1,129.92,4,4,3,443
1532653576813240,26,1,108.49,3,4,4,344
1532654354629210,26,2,154.3,3,3,3,333
1532655920927550,19,6,415.0,2,1,1,211
1532658820495230,1,1,149.0,1,4,3,143
1532662257568840,26,13,1016.5799999999999,3,1,1,311
1532662897864900,61,2,281.56,4,3,2,432
1532663862902720,11,3,319.77,1,2,2,122
1532665021624750,22,2,115.78,2,3,4,234
1532666519318790,52,3,423.01,4,2,1,421
1532669100958850,28,2,218.0,3,3,2,332
1532669251595420,61,3,385.41999999999996,4,2,1,421
1532669845354420,60,3,181.49,4,2,2,422
1532673925477260,18,1,25.55,2,4,4,244
1532681023576730,3,9,787.92,1,1,1,111
1532686746907880,61,2,122.0,4,3,4,434
1532690422928830,51,1,96.0,4,4,4,444
1532691369979430,54,1,129.0,4,4,3,443
1532694958937570,60,3,218.0,4,2,2,422
1532696036892170,5,2,140.0,1,3,3,133
1532701722138840,17,1,139.0,2,4,3,243
1532701778727610,11,8,777.0,1,1,1,111
1532705250181170,4,8,503.2700000000001,1,1,1,111
1532707188318360,4,4,757.42,1,1,1,111
1532713875654640,16,1,104.66,2,4,4,244
1532716023380190,2,2,120.0,1,3,4,134
1532716870294780,61,1,88.81,4,4,4,444
1532717779734480,5,1,49.02,1,4,4,144
1532718922926460,61,1,59.35,4,4,4,444
1532719421558540,5,3,177.0,1,2,3,123
1532720955962540,25,5,626.23,2,1,1,211
1532721476021150,15,2,265.0,2,3,2,232
1532721546910230,12,4,406.0,1,1,1,111
1532723289802670,54,4,630.99,4,1,1,411
1532724830860160,54,2,212.60000000000002,4,3,2,432
1532728003502600,61,1,152.17,4,4,3,443
1532728098889850,51,2,208.0,4,3,2,432
1532728557411800,61,1,154.0,4,4,3,443
1532730093634230,49,2,238.16000000000003,4,3,2,432
1532730519751880,61,1,140.13,4,4,3,443
1532730681252660,60,1,69.0,4,4,4,444
1532730949865300,48,2,128.0,4,3,3,433
1532731479552600,61,5,429.0,4,1,1,411
1532732532483930,56,1,95.9,4,4,4,444
1532733155609500,61,1,174.0,4,4,3,443
1532733227645880,61,2,133.0,4,3,3,433
1532733604531890,61,1,125.0,4,4,3,443
1532734113942690,60,4,306.8,4,1,2,412
1532739980208840,60,1,149.0,4,4,3,443
1532739982250470,50,6,463.0,4,1,1,411
1532741405204750,46,3,581.61,3,2,1,321
1532743670217620,60,2,103.0,4,3,4,434
1532743703440640,60,2,326.66,4,3,2,432
1532745500436930,46,3,332.0,3,2,1,321
1532746702544300,60,1,48.0,4,4,4,444
1532748647038410,60,1,38.68,4,4,4,444
1532749095465410,60,1,90.0,4,4,4,444
1532749119721980,60,2,124.0,4,3,4,434
1532749683318550,60,2,154.0,4,3,3,433
1532753666655230,60,2,191.82,4,3,2,432
1532754233919210,60,1,118.0,4,4,4,444
1532756012263860,60,3,483.27,4,2,1,421
1532758379830550,60,1,112.27,4,4,4,444
1532759401133610,60,3,366.02,4,2,1,421
1532759878302250,59,1,52.23,4,4,4,444
1532778470306970,4,18,1337.2400000000002,1,1,1,111
1532784753278260,60,1,140.45,4,4,3,443
1532787507020730,60,1,149.0,4,4,3,443
1532787831228380,60,1,189.0,4,4,2,442
1532788174407550,60,2,159.0,4,3,3,433
1532788789782850,60,2,157.76,4,3,3,433
1532788815815890,59,4,286.0,4,1,2,412
1532789281348450,23,1,49.59,2,4,4,244
1532792357198870,4,5,336.40999999999997,1,1,1,111
1532792993475250,26,5,570.0,3,1,1,311
1532794315595740,46,9,1518.2499999999998,3,1,1,311
1532794739588950,60,1,127.17,4,4,3,443
1532795434809840,32,2,268.45,3,3,2,332
1532797036831250,33,2,218.0,3,3,2,332
1532797082875570,60,2,144.0,4,3,3,433
1532797529241340,4,3,300.21,1,2,2,122
1532797677796630,4,2,181.0,1,3,2,132
1532797747527260,60,1,48.0,4,4,4,444
1532798479801390,30,1,159.0,3,4,3,343
1532799349569130,50,2,155.45,4,3,3,433
1532800755242270,60,10,753.0,4,1,1,411
1532802217865370,18,1,170.53,2,4,3,243
1532803292921300,51,1,265.77,4,4,2,442
1532803572470900,57,2,208.0,4,3,2,432
1532804150459940,55,2,244.77,4,3,2,432
1532806329802840,60,2,198.0,4,3,2,432
1532809959895180,60,2,214.0,4,3,2,432
1532811212455390,45,3,317.0,3,2,2,322
1532812822694210,2,7,895.0,1,1,1,111
1532816040193940,60,1,101.5,4,4,4,444
1532818508258950,60,3,319.0,4,2,2,422
1532819483670400,60,2,103.0,4,3,4,434
1532822664373170,59,1,104.0,4,4,4,444
1532823215511240,59,1,144.0,4,4,3,443
1532823517719460,59,1,139.0,4,4,3,443
1532823813538920,3,6,500.2900000000001,1,1,1,111
1532825603642820,59,2,207.0,4,3,2,432
1532826831154780,59,1,66.29,4,4,4,444
1532828127336860,29,1,173.39,3,4,3,343
1532828989415490,53,6,384.0,4,1,1,411
1532829127497880,59,2,264.9,4,3,2,432
1532829361928770,59,4,450.44000000000005,4,1,1,411
1532830924965820,58,2,222.0,4,3,2,432
1532830997990930,17,10,862.0,2,1,1,211
1532831949054220,35,4,373.46000000000004,3,1,1,311
1532833097302830,59,1,244.0,4,4,2,442
1532833760760600,59,1,139.0,4,4,3,443
1532833829204220,59,2,236.0,4,3,2,432
1532838224656640,53,1,157.41,4,4,3,443
1532844273439420,2,9,364.0,1,1,1,111
1532845291852780,51,1,142.0,4,4,3,443
1532848156186970,59,1,125.0,4,4,3,443
1532849333187490,4,14,1089.1299999999999,1,1,1,111
1532865565525300,58,2,294.36,4,3,2,432
1532865891343780,59,2,170.0,4,3,3,433
1532868386374580,4,11,961.99,1,1,1,111
1532870801768660,59,4,276.76,4,1,2,412
1532873093035150,59,3,471.0,4,2,1,421
1532874374010370,3,8,453.0,1,1,1,111
1532875124970740,49,7,485.71000000000015,4,1,1,411
1532876212494450,22,1,109.0,2,4,4,244
1532876341519640,59,2,96.0,4,3,4,434
1532877560831150,8,2,268.0,1,3,2,132
1532879199571620,59,2,215.0,4,3,2,432
1532879399640170,58,3,231.0,4,2,2,422
1532879836863930,30,7,532.0,3,1,1,311
1532880894103780,35,1,105.6,3,4,4,344
1532884903323620,59,1,90.0,4,4,4,444
1532885466668940,59,6,676.0,4,1,1,411
1532885623540970,47,6,687.0,4,1,1,411
1532885929179890,59,2,263.34,4,3,2,432
1532885943731230,3,4,97.07,1,1,4,114
1532886573055240,59,1,149.0,4,4,3,443
1532887317357530,59,2,208.0,4,3,2,432
1532887508053420,59,1,104.0,4,4,4,444
1532890226322900,27,2,159.0,3,3,3,333
1532892501217100,59,1,128.35,4,4,3,443
