,USER_ID,recency,frequency,monetory_value,r_quartile,f_quartile,m_quartile,RFMScore
19887,15365940414573800,16,4,347.0,2,1,1,211
19896,15365959580153700,16,10,1064.0,2,1,1,211
19908,15365975734028900,2,5,238.8,1,1,2,112
19910,15365981780168600,16,9,2713.96,2,1,1,211
19912,15365985828352900,16,3,426.61,2,2,1,221
19916,15365997000689100,7,3,480.04,1,2,1,121
19927,15366026351987700,16,3,419.21,2,2,1,221
19929,15366033108108500,16,4,437.36,2,1,1,211
19932,15366039769495000,16,10,1095.0,2,1,1,211
19935,15366046925253900,12,5,800.1999999999998,1,1,1,111
19939,15366052227974000,15,3,576.87,2,2,1,221
19940,15366053007287600,16,3,261.88,2,2,2,222
19942,15366053655578300,16,12,1414.0,2,1,1,211
19944,15366056607276900,5,14,2550.26,1,1,1,111
19950,15366060108717800,14,10,1284.6999999999996,2,1,1,211
19955,15366065851511500,3,5,462.0,1,1,1,111
19957,15366070001018500,16,4,428.68,2,1,1,211
19965,15366086584573300,2,4,561.0,1,1,1,111
19967,15366091278022300,16,3,391.44,2,2,1,221
19969,15366092522806700,2,3,373.0,1,2,1,121
19970,15366103862132400,16,3,334.57,2,2,1,221
19974,15366106637651900,16,6,543.0,2,1,1,211
19977,15366108691936800,16,3,267.0,2,2,2,222
19998,15366156713713500,16,3,336.0,2,2,1,221
19999,15366157053494500,15,10,1292.1,2,1,1,211
20005,15366169151839600,3,6,362.76,1,1,1,111
20018,15366202766929900,16,6,476.0,2,1,1,211
20021,15366209422291400,12,7,897.9000000000002,1,1,1,111
20025,15366211863774400,8,5,1039.83,1,1,1,111
20026,15366219564878500,16,3,327.7999999999999,2,2,1,221
20029,15366223695693300,4,5,452.0,1,1,1,111
20032,15366229011116400,15,3,279.18,2,2,2,222
20033,15366230980205600,16,3,181.37,2,2,2,222
20034,15366231284601500,4,3,230.47,1,2,2,122
20037,15366244848271700,12,3,324.06,1,2,2,122
20038,15366244976079700,15,3,586.46,2,2,1,221
20041,15366248293291800,15,8,982.0,2,1,1,211
20046,15366257616822200,8,5,475.0,1,1,1,111
20051,15366266694544800,15,3,240.86,2,2,2,222
20054,15366275955148500,13,4,485.96,2,1,1,211
20060,15366285655238500,15,3,475.0,2,2,1,221
20069,15366297870705400,15,3,282.0,2,2,2,222
20074,15366299380846100,15,3,482.0,2,2,1,221
20091,15366319752253800,15,3,323.0,2,2,2,222
20092,15366319952296600,15,4,813.08,2,1,1,211
20099,15366339119328900,3,3,346.37,1,2,1,121
20103,15366346856188300,15,6,534.0,2,1,1,211
20105,15366348717312300,9,6,778.2600000000001,1,1,1,111
20108,15366355534595500,3,5,822.0,1,1,1,111
20123,15366385769319000,9,5,597.8299999999998,1,1,1,111
20133,15366406334005100,9,4,496.52,1,1,1,111
